Web Search interest: ebola
Czech Republic; United States
Past 30 days

Interest over time
Day,Czech Republic,United States
2014-10-04,4,48
2014-10-05,3,42
2014-10-06,6,41
2014-10-07,10,34
2014-10-08,12,53
2014-10-09,36,56
2014-10-10,29,41
2014-10-11,15,28
2014-10-12,12,46
2014-10-13,8,52
2014-10-14,13,55
2014-10-15,19,90
2014-10-16,12,100
2014-10-17,10,82
2014-10-18,7,51
2014-10-19,6,36
2014-10-20,6,33
2014-10-21,5,34
2014-10-22,4,26
2014-10-23,4,22
2014-10-24,4,51
2014-10-25,5,23
2014-10-26,4,20
2014-10-27,4,24
2014-10-28,4,20
2014-10-29,2,17
2014-10-30,3,14
2014-10-31,2,13
2014-11-01,2,10
2014-11-02, , 
2014-11-03, , 


Top subregions for Czech Republic
Subregion,Czech Republic
Prague,100
Moravian-Silesian Region,96
South Moravian Region,89
Central Bohemian Region,86
South Bohemian Region,0
Karlovy Vary Region,0
Hradec Králové Region,0
Liberec Region,0
Olomouc Region,0
Pardubice Region,0
Plzeň Region,0
Ústí nad Labem Region,0
Vysočina Region,0
Zlín Region,0

Top subregions for United States
Subregion,United States
Texas,100
Oklahoma,93
New York,87
Louisiana,86
Delaware,86
District of Columbia,86
South Dakota,86
Connecticut,84
West Virginia,82
Maine,82
Mississippi,81
Vermont,81
Ohio,80
Alabama,80
Arkansas,79
New Jersey,77
Wyoming,76
North Dakota,76
Rhode Island,74
Maryland,74
Montana,73
Illinois,71
Alaska,71
Georgia,70
New Hampshire,69
Massachusetts,69
Kansas,68
Kentucky,68
Missouri,68
Tennessee,68
Florida,68
Pennsylvania,67
Michigan,67
North Carolina,67
Nevada,67
South Carolina,66
Nebraska,66
New Mexico,65
Hawaii,64
Colorado,63
Indiana,63
California,63
Iowa,63
Wisconsin,62
Arizona,61
Idaho,61
Minnesota,60
Washington,60
Utah,50
Virginia,47
Oregon,31


Top cities for Czech Republic
City,Czech Republic
Prague,100
Ostrava,92
Brno,87

Top cities for United States
City,United States
Dallas,100
Richardson,90
Goldsby,90
Grapevine,87
New York,83
Fresno,78
New Orleans,77
Westland,76
Washington,76
Austin,75
Alexandria,73
Columbus,72
Houston,70
Chicago,67
San Antonio,66



Top searches for Czech Republic
ebola příznaky,100

Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
ebola new york,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
us ebola cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5




Rising searches for United States
ebola nurse,+3,600%
ebola costume,+1,000%
nyc ebola,+900%
ebola ohio,+500%
ebola new york,+300%
ebola ny,+200%
duncan ebola,+150%
ebola cases,+130%
us ebola cases,+130%
is ebola airborne,+70%



