Web Search interest: ebola
Curaçao; United States
Past 30 days

Interest over time
Day,Curaçao,United States
2014-10-04,0,45
2014-10-05,0,39
2014-10-06,76,39
2014-10-07,54,32
2014-10-08,85,50
2014-10-09,55,53
2014-10-10,58,38
2014-10-11,60,26
2014-10-12,62,44
2014-10-13,64,49
2014-10-14,67,52
2014-10-15,83,84
2014-10-16,100,94
2014-10-17,78,77
2014-10-18,58,48
2014-10-19,47,34
2014-10-20,47,31
2014-10-21,47,32
2014-10-22,0,25
2014-10-23,0,21
2014-10-24,0,48
2014-10-25,0,22
2014-10-26,0,19
2014-10-27,0,22
2014-10-28,49,19
2014-10-29,0,16
2014-10-30,0,14
2014-10-31,0,12
2014-11-01,0,10
2014-11-02, , 
2014-11-03, , 


Top cities for Curaçao
City,Curaçao
Willemstad,100

Top cities for United States
City,United States
Dallas,100
Richardson,90
Goldsby,90
Grapevine,87
New York,83
Fresno,78
New Orleans,77
Westland,76
Washington,76
Austin,75
Alexandria,73
Columbus,72
Houston,70
Chicago,67
San Antonio,66




Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
ebola new york,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
us ebola cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5




Rising searches for United States
ebola nurse,+3,600%
ebola costume,+1,000%
nyc ebola,+900%
ebola ohio,+500%
ebola new york,+300%
ebola ny,+200%
duncan ebola,+150%
ebola cases,+130%
us ebola cases,+130%
is ebola airborne,+70%



