Web Search interest: ebola
Grenada; United States
Past 30 days

Interest over time
Day,Grenada,United States
2014-10-04,0,27
2014-10-05,0,23
2014-10-06,0,23
2014-10-07,0,19
2014-10-08,66,30
2014-10-09,90,31
2014-10-10,88,23
2014-10-11,81,16
2014-10-12,81,26
2014-10-13,81,29
2014-10-14,81,31
2014-10-15,81,50
2014-10-16,90,56
2014-10-17,100,46
2014-10-18,0,28
2014-10-19,0,20
2014-10-20,0,18
2014-10-21,0,19
2014-10-22,0,15
2014-10-23,0,12
2014-10-24,0,29
2014-10-25,0,13
2014-10-26,0,11
2014-10-27,0,13
2014-10-28,0,11
2014-10-29,0,9
2014-10-30,0,8
2014-10-31,0,7
2014-11-01,0,6
2014-11-02, , 
2014-11-03, , 


Top subregions for Grenada
Subregion,Grenada
Saint George,100
Saint Andrew,0
Saint David,0
Saint John,0
Saint Mark,0
Saint Patrick,0
Carriacou and Petite Martinique,0

Top subregions for United States
Subregion,United States
Texas,100
Oklahoma,93
New York,87
Louisiana,86
Delaware,86
District of Columbia,86
South Dakota,86
Connecticut,84
West Virginia,82
Maine,82
Mississippi,81
Vermont,81
Ohio,80
Alabama,80
Arkansas,79
New Jersey,77
Wyoming,76
North Dakota,76
Rhode Island,74
Maryland,74
Montana,73
Illinois,71
Alaska,71
Georgia,70
New Hampshire,69
Massachusetts,69
Kansas,68
Kentucky,68
Missouri,68
Tennessee,68
Florida,68
Pennsylvania,67
Michigan,67
North Carolina,67
Nevada,67
South Carolina,66
Nebraska,66
New Mexico,65
Hawaii,64
Colorado,63
Indiana,63
California,63
Iowa,63
Wisconsin,62
Arizona,61
Idaho,61
Minnesota,60
Washington,60
Utah,50
Virginia,47
Oregon,31


Top cities for Grenada
City,Grenada
Saint Georges,100

Top cities for United States
City,United States
Dallas,100
Richardson,90
Goldsby,90
Grapevine,87
New York,83
Fresno,78
New Orleans,77
Westland,76
Washington,76
Austin,75
Alexandria,73
Columbus,72
Houston,70
Chicago,67
San Antonio,66




Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
ebola new york,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
us ebola cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5




Rising searches for United States
ebola nurse,+3,600%
ebola costume,+1,000%
nyc ebola,+900%
ebola ohio,+500%
ebola new york,+300%
ebola ny,+200%
duncan ebola,+150%
ebola cases,+130%
us ebola cases,+130%
is ebola airborne,+70%



