Web Search interest: ebola
United Kingdom; United States
Past 30 days

Interest over time
Day,United Kingdom,United States
2014-10-04,9,48
2014-10-05,12,42
2014-10-06,22,41
2014-10-07,36,34
2014-10-08,48,55
2014-10-09,53,56
2014-10-10,37,41
2014-10-11,27,28
2014-10-12,28,47
2014-10-13,33,52
2014-10-14,33,55
2014-10-15,32,90
2014-10-16,33,100
2014-10-17,23,81
2014-10-18,17,51
2014-10-19,16,35
2014-10-20,14,34
2014-10-21,11,34
2014-10-22,9,26
2014-10-23,8,22
2014-10-24,11,51
2014-10-25,8,23
2014-10-26,7,20
2014-10-27,7,24
2014-10-28,8,20
2014-10-29,9,17
2014-10-30,10,15
2014-10-31,8,13
2014-11-01,6,10
2014-11-02, , 
2014-11-03, , 


Top subregions for United Kingdom
Subregion,United Kingdom
England,100
Northern Ireland,86
Wales,84
Scotland,73

Top subregions for United States
Subregion,United States
Texas,100
Oklahoma,93
New York,87
Louisiana,86
Delaware,86
District of Columbia,86
South Dakota,86
Connecticut,84
West Virginia,82
Maine,82
Mississippi,81
Vermont,81
Ohio,80
Alabama,80
Arkansas,79
New Jersey,77
Wyoming,76
North Dakota,76
Rhode Island,74
Maryland,74
Montana,73
Illinois,71
Alaska,71
Georgia,70
New Hampshire,69
Massachusetts,69
Kansas,68
Kentucky,68
Missouri,68
Tennessee,68
Florida,68
Pennsylvania,67
Michigan,67
North Carolina,67
Nevada,67
South Carolina,66
Nebraska,66
New Mexico,65
Hawaii,64
Colorado,63
Indiana,63
California,63
Iowa,63
Wisconsin,62
Arizona,61
Idaho,61
Minnesota,60
Washington,60
Utah,50
Virginia,47
Oregon,31


Top cities for United Kingdom
City,United Kingdom
Plymouth,100
London,97
Manchester,90
Liverpool,87
Newcastle upon Tyne,87
Oxford,87
Croydon,86
Nottingham,86
Coventry,86
Birmingham,85
Belfast,85
Hull,84
Norwich,83
Clayton-le-Woods,83
Brighton,82

Top cities for United States
City,United States
Dallas,100
Plano,95
Richardson,93
Goldsby,91
Grapevine,88
New York,87
Fresno,80
Westland,77
New Orleans,76
Affton,76
Austin,75
Washington,74
Columbus,73
Alexandria,72
Houston,70



Top searches for United Kingdom
virus ebola,100
ebola symptoms,95
uk ebola,85
ebola news,50
what is ebola,40
bbc ebola,30
ebola in uk,30
ebola outbreak,30
symptoms of ebola,25
zombie,20
ebola zombie,20
bbc news ebola,20
ebola 2014,15
ebola cure,15
ebola victim,10
ebola africa,10
ebola spread,10
london ebola,10
ebola disease,10
ebola map,10
who ebola,10
the ebola virus,10
ebola latest,10
ebola england,10
ebola nurse,10
spain ebola,10
ebola virus uk,10
ebola us,10
ebola vaccine,5
ebola airborne,5
ebola virus symptoms,5
ebola countries,5
nhs ebola,5
where is ebola,5
cure for ebola,5
latest ebola news,5
ebola cases,5
spanish ebola,5
nigeria ebola,5
ebola in england,5
ebola update,5
signs of ebola,5
ebola jokes,5
ebola usa,5

Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
new york ebola,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
ebola us cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5



Rising searches for United Kingdom
ebola nurse,Breakout
spain ebola,Breakout
ebola in uk,+140%
symptoms of ebola,+100%
uk ebola,+90%
ebola england,+70%
ebola symptoms,+60%
ebola cure,+50%
ebola victim,+50%
london ebola,+50%

Rising searches for United States
ebola nurse,+3,600%
ebola costume,+1,200%
nyc ebola,+1,150%
ebola ohio,+500%
new york ebola,+300%
ebola ny,+250%
ebola us cases,+150%
ebola cases,+140%
duncan ebola,+130%
signs of ebola,+80%



