Web Search interest: ebola
Norway; United States
Past 30 days

Interest over time
Day,Norway,United States
2014-10-04,6,48
2014-10-05,7,42
2014-10-06,59,41
2014-10-07,65,34
2014-10-08,28,55
2014-10-09,28,56
2014-10-10,23,41
2014-10-11,20,28
2014-10-12,20,47
2014-10-13,15,52
2014-10-14,17,55
2014-10-15,17,90
2014-10-16,18,100
2014-10-17,16,81
2014-10-18,12,51
2014-10-19,11,35
2014-10-20,14,34
2014-10-21,10,34
2014-10-22,9,26
2014-10-23,7,22
2014-10-24,8,51
2014-10-25,6,23
2014-10-26,5,20
2014-10-27,7,24
2014-10-28,7,20
2014-10-29,4,17
2014-10-30,5,15
2014-10-31,5,13
2014-11-01,3,10
2014-11-02, , 
2014-11-03, , 


Top subregions for Norway
Subregion,Norway
Nordland,100
Troms,90
Buskerud,83
Rogaland,79
Vestfold,76
Ostfold,75
Hordaland,74
Sor-Trondelag,74
Akershus,73
Møre og Romsdal,67
Oslo,62
Hedmark,0
Oppland,0
Telemark,0
Aust-Agder,0
Vest-Agder,0
Sogn og Fjordane,0
Nord-Trondelag,0
Finnmark,0

Top subregions for United States
Subregion,United States
Texas,100
Oklahoma,93
New York,87
Louisiana,86
Delaware,86
District of Columbia,86
South Dakota,86
Connecticut,84
West Virginia,82
Maine,82
Mississippi,81
Vermont,81
Ohio,80
Alabama,80
Arkansas,79
New Jersey,77
Wyoming,76
North Dakota,76
Rhode Island,74
Maryland,74
Montana,73
Illinois,71
Alaska,71
Georgia,70
New Hampshire,69
Massachusetts,69
Kansas,68
Kentucky,68
Missouri,68
Tennessee,68
Florida,68
Pennsylvania,67
Michigan,67
North Carolina,67
Nevada,67
South Carolina,66
Nebraska,66
New Mexico,65
Hawaii,64
Colorado,63
Indiana,63
California,63
Iowa,63
Wisconsin,62
Arizona,61
Idaho,61
Minnesota,60
Washington,60
Utah,50
Virginia,47
Oregon,31


Top cities for Norway
City,Norway
Tromsø,100
Trondheim,94
Stavanger,90
Fredrikstad,89
Bergen,89
Oslo,76
Bærum,74

Top cities for United States
City,United States
Dallas,100
Plano,95
Richardson,93
Goldsby,91
Grapevine,88
New York,87
Fresno,80
Westland,77
New Orleans,76
Affton,76
Austin,75
Washington,74
Columbus,73
Alexandria,72
Houston,70



Top searches for Norway
symptomer ebola,100
ebola virus,80
ebola norge,60
ebola 2014,40

Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
new york ebola,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
ebola us cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5



Rising searches for Norway
ebola norge,Breakout
symptomer ebola,Breakout

Rising searches for United States
ebola nurse,+3,600%
ebola costume,+1,200%
nyc ebola,+1,150%
ebola ohio,+500%
new york ebola,+300%
ebola ny,+250%
ebola us cases,+150%
ebola cases,+140%
duncan ebola,+130%
signs of ebola,+80%



