Web Search interest: ebola
Monaco; United States
Past 30 days

Interest over time
Day,Monaco,United States
2014-10-04,0,48
2014-10-05,0,42
2014-10-06,0,41
2014-10-07,0,34
2014-10-08,0,55
2014-10-09,0,56
2014-10-10,0,41
2014-10-11,0,28
2014-10-12,0,47
2014-10-13,0,52
2014-10-14,0,55
2014-10-15,0,90
2014-10-16,0,100
2014-10-17,0,81
2014-10-18,0,51
2014-10-19,0,35
2014-10-20,0,34
2014-10-21,0,34
2014-10-22,0,26
2014-10-23,0,22
2014-10-24,0,51
2014-10-25,0,23
2014-10-26,0,20
2014-10-27,0,24
2014-10-28,0,20
2014-10-29,0,17
2014-10-30,0,15
2014-10-31,0,13
2014-11-01,0,10
2014-11-02, , 
2014-11-03, , 



Top cities for United States
City,United States
Dallas,100
Plano,94
Richardson,92
Goldsby,91
Grapevine,87
New York,87
Fresno,79
Westland,77
Affton,76
New Orleans,75
Austin,75
Washington,74
Columbus,73
Alexandria,71
Houston,70




Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
ebola new york,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
us ebola cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5




Rising searches for United States
ebola nurse,+3,550%
ebola costume,+1,200%
nyc ebola,+1,150%
ebola ohio,+500%
ebola new york,+300%
ebola ny,+250%
us ebola cases,+200%
duncan ebola,+130%
ebola cases,+130%
signs of ebola,+80%



