Web Search interest: ebola
Russia; United States
Past 30 days

Interest over time
Day,Russia,United States
2014-10-04,1,48
2014-10-05,0,42
2014-10-06,0,41
2014-10-07,0,34
2014-10-08,0,55
2014-10-09,0,56
2014-10-10,1,41
2014-10-11,0,28
2014-10-12,0,47
2014-10-13,0,52
2014-10-14,0,55
2014-10-15,0,90
2014-10-16,1,100
2014-10-17,0,81
2014-10-18,0,51
2014-10-19,0,35
2014-10-20,0,34
2014-10-21,0,34
2014-10-22,0,26
2014-10-23,0,22
2014-10-24,0,51
2014-10-25,0,23
2014-10-26,0,20
2014-10-27,0,24
2014-10-28,0,20
2014-10-29,0,17
2014-10-30,0,15
2014-10-31,0,13
2014-11-01,0,10
2014-11-02, , 
2014-11-03, , 


Top subregions for Russia
Subregion,Russia
Moscow,100
Adygea,0
Altai Republic,0
Altai Krai,0
Amur Oblast,0
Arkhangelsk Oblast,0
Astrakhan Oblast,0
Republic of Bashkortostan,0
Belgorod Oblast,0
Bryansk Oblast,0
Buryatia,0
Chechnya,0
Chelyabinsk Oblast,0
Chukotka Autonomous Okrug,0
Chuvashia,0
Dagestan,0
Ingushetia,0
Irkutsk Oblast,0
Ivanovo Oblast,0
Kamchatka Krai,0
Kabardino-Balkaria,0
Karachay-Cherkessia,0
Krasnodar Krai,0
Kemerovo Oblast,0
Kaliningrad Oblast,0
Kurgan Oblast,0
Khabarovsk Krai,0
Khanty-Mansi Autonomous Okrug,0
Kirov Oblast,0
Republic of Khakassia,0
Kalmykia,0
Kaluga Oblast,0
Komi Republic,0
Kostroma Oblast,0
Republic of Karelia,0
Kursk Oblast,0
Krasnoyarsk Krai,0
Leningrad Oblast,0
Lipetsk Oblast,0
Magadan Oblast,0
Mari El Republic,0
Mordovia,0
Moskovskaya oblast,0
Murmansk Oblast,0
Nenets Autonomous Okrug,0
Novgorod Oblast,0
Nizhny Novgorod Oblast,0
Novosibirsk Oblast,0
Omsk Oblast,0
Orenburg Oblast,0
Oryol Oblast,0
Perm Krai,0
Penza Oblast,0
Primorsky Krai,0
Pskov Oblast,0
Rostov Oblast,0
Ryazan Oblast,0
Sakha,0
Sakhalin Oblast,0
Samara Oblast,0
Saratov Oblast,0
North Ossetia–Alania,0
Smolensk Oblast,0
Saint Petersburg,0
Stavropol Krai,0
Sverdlovsk Oblast,0
Republic of Tatarstan,0
Tambov Oblast,0
Tomsk Oblast,0
Tula Oblast,0
Tver Oblast,0
Tuva,0
Tyumen Oblast,0
Udmurtia,0
Ulyanovsk Oblast,0
Volgograd Oblast,0
Vladimir Oblast,0
Vologda Oblast,0
Voronezh Oblast,0
Yamalo-Nenets Autonomous Okrug,0
Yaroslavl Oblast,0
Jewish Autonomous Oblast,0
Zabaykalsky Krai,0

Top subregions for United States
Subregion,United States
Texas,100
Oklahoma,93
New York,87
Louisiana,86
Delaware,86
District of Columbia,86
South Dakota,86
Connecticut,84
West Virginia,82
Maine,82
Mississippi,81
Vermont,81
Ohio,80
Alabama,80
Arkansas,79
New Jersey,77
Wyoming,76
North Dakota,76
Rhode Island,74
Maryland,74
Montana,73
Illinois,71
Alaska,71
Georgia,70
New Hampshire,69
Massachusetts,69
Kansas,68
Kentucky,68
Missouri,68
Tennessee,68
Florida,68
Pennsylvania,67
Michigan,67
North Carolina,67
Nevada,67
South Carolina,66
Nebraska,66
New Mexico,65
Hawaii,64
Colorado,63
Indiana,63
California,63
Iowa,63
Wisconsin,62
Arizona,61
Idaho,61
Minnesota,60
Washington,60
Utah,50
Virginia,47
Oregon,31


Top cities for Russia
City,Russia
Moscow,100

Top cities for United States
City,United States
Dallas,100
Plano,95
Richardson,93
Goldsby,91
Grapevine,88
New York,87
Fresno,80
Westland,77
New Orleans,76
Affton,76
Austin,75
Washington,74
Columbus,73
Alexandria,72
Houston,70




Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
new york ebola,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
ebola us cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5




Rising searches for United States
ebola nurse,+3,600%
ebola costume,+1,200%
nyc ebola,+1,150%
ebola ohio,+500%
new york ebola,+300%
ebola ny,+250%
ebola us cases,+150%
ebola cases,+140%
duncan ebola,+130%
signs of ebola,+80%



