Web Search interest: ebola
Peru; United States
Past 30 days

Interest over time
Day,Peru,United States
2014-10-04,4,48
2014-10-05,3,42
2014-10-06,4,41
2014-10-07,6,34
2014-10-08,16,55
2014-10-09,23,56
2014-10-10,28,41
2014-10-11,40,28
2014-10-12,24,47
2014-10-13,49,52
2014-10-14,34,55
2014-10-15,24,90
2014-10-16,19,100
2014-10-17,15,81
2014-10-18,14,51
2014-10-19,15,35
2014-10-20,11,34
2014-10-21,10,34
2014-10-22,9,26
2014-10-23,8,22
2014-10-24,7,51
2014-10-25,6,23
2014-10-26,6,20
2014-10-27,7,24
2014-10-28,7,20
2014-10-29,6,17
2014-10-30,5,15
2014-10-31,4,13
2014-11-01,3,10
2014-11-02, , 
2014-11-03, , 


Top subregions for Peru
Subregion,Peru
Ancash Region,100
Piura Region,89
Arequipa Region,85
Lambayeque Region,79
La Libertad Region,78
Cuzco,76
Junín,56
Amazonas Region,0
Apurímac Region,0
Ayacucho Region,0
Cajamarca Region,0
Callao,0
Huanuco,0
Huancavelica Region,0
Ica Region,0
Lima Region,0
Loreto Region,0
Madre de Dios,0
Moquegua Region,0
Pasco Region,0
Puno Region,0
San Martin,0
Tacna Region,0
Tumbes Region,0
Ucayali Region,0

Top subregions for United States
Subregion,United States
Texas,100
Oklahoma,93
New York,87
Louisiana,86
Delaware,86
District of Columbia,86
South Dakota,86
Connecticut,84
West Virginia,82
Maine,82
Mississippi,81
Vermont,81
Ohio,80
Alabama,80
Arkansas,79
New Jersey,77
Wyoming,76
North Dakota,76
Rhode Island,74
Maryland,74
Montana,73
Illinois,71
Alaska,71
Georgia,70
New Hampshire,69
Massachusetts,69
Kansas,68
Kentucky,68
Missouri,68
Tennessee,68
Florida,68
Pennsylvania,67
Michigan,67
North Carolina,67
Nevada,67
South Carolina,66
Nebraska,66
New Mexico,65
Hawaii,64
Colorado,63
Indiana,63
California,63
Iowa,63
Wisconsin,62
Arizona,61
Idaho,61
Minnesota,60
Washington,60
Utah,50
Virginia,47
Oregon,31


Top cities for Peru
City,Peru
San Isidro District,100
Pueblo Libre,97
Arequipa,91
Miraflores District,91
Piura,90
Santiago de Surco,87
San Martin de Porres,84
Lima,83
Chimbote,82
Breña,82
Chiclayo,81
Ate,80
Cusco,78
Ica,78
Los Olivos,77

Top cities for United States
City,United States
Dallas,100
Plano,95
Richardson,93
Goldsby,91
Grapevine,88
New York,87
Fresno,80
Westland,77
New Orleans,76
Affton,76
Austin,75
Washington,74
Columbus,73
Alexandria,72
Houston,70



Top searches for Peru
el ebola,100
la ebola,50
que es ebola,40
ebola peru,35
ebola sintomas,35
virus ebola,25
ebola en peru,15
enfermedad ebola,15
sintomas del ebola,10
virus del ebola,10
ebola noticias,10
sintomas de ebola,10
la enfermedad ebola,10
ebola causas,10
el virus ebola,10
enfermedad del ebola,10
enfermedad de ebola,5

Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
new york ebola,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
ebola us cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5



Rising searches for Peru
ebola causas,Breakout
ebola sintomas,+250%
sintomas del ebola,+120%
la ebola,+80%
ebola noticias,+60%
el ebola,+50%
que es ebola,+40%
virus ebola,+40%

Rising searches for United States
ebola nurse,+3,600%
ebola costume,+1,200%
nyc ebola,+1,150%
ebola ohio,+500%
new york ebola,+300%
ebola ny,+250%
ebola us cases,+150%
ebola cases,+140%
duncan ebola,+130%
signs of ebola,+80%



