Web Search interest: ebola
Senegal; United States
Past 30 days

Interest over time
Day,Senegal,United States
2014-10-04,0,48
2014-10-05,23,42
2014-10-06,18,41
2014-10-07,30,34
2014-10-08,38,55
2014-10-09,28,56
2014-10-10,47,41
2014-10-11,26,28
2014-10-12,29,47
2014-10-13,41,52
2014-10-14,25,55
2014-10-15,33,90
2014-10-16,27,100
2014-10-17,36,81
2014-10-18,16,51
2014-10-19,30,35
2014-10-20,24,34
2014-10-21,23,34
2014-10-22,21,26
2014-10-23,30,22
2014-10-24,36,51
2014-10-25,34,23
2014-10-26,28,20
2014-10-27,22,24
2014-10-28,22,20
2014-10-29,27,17
2014-10-30,29,15
2014-10-31,16,13
2014-11-01,19,10
2014-11-02, , 
2014-11-03, , 


Top subregions for Senegal
Subregion,Senegal
Dakar,100
Central River,0
Upper River,0
Diourbel,0
Fatick,0
Kaffrine,0
Kolda,0
Kedougou,0
Kaolack,0
Louga,0
Matam,0
Sedhiou,0
Saint-Louis,0
Tambacounda,0
Thies,0
Ziguinchor,0

Top subregions for United States
Subregion,United States
Texas,100
Oklahoma,93
New York,87
Louisiana,86
Delaware,86
District of Columbia,86
South Dakota,86
Connecticut,84
West Virginia,82
Maine,82
Mississippi,81
Vermont,81
Ohio,80
Alabama,80
Arkansas,79
New Jersey,77
Wyoming,76
North Dakota,76
Rhode Island,74
Maryland,74
Montana,73
Illinois,71
Alaska,71
Georgia,70
New Hampshire,69
Massachusetts,69
Kansas,68
Kentucky,68
Missouri,68
Tennessee,68
Florida,68
Pennsylvania,67
Michigan,67
North Carolina,67
Nevada,67
South Carolina,66
Nebraska,66
New Mexico,65
Hawaii,64
Colorado,63
Indiana,63
California,63
Iowa,63
Wisconsin,62
Arizona,61
Idaho,61
Minnesota,60
Washington,60
Utah,50
Virginia,47
Oregon,31


Top cities for Senegal
City,Senegal
Dakar,100

Top cities for United States
City,United States
Dallas,100
Plano,95
Richardson,93
Goldsby,91
Grapevine,88
New York,87
Fresno,80
Westland,77
New Orleans,76
Affton,76
Austin,75
Washington,74
Columbus,73
Alexandria,72
Houston,70




Top searches for United States
virus ebola,100
ebola symptoms,80
us ebola,45
news ebola,45
news,45
ebola outbreak,40
what is ebola,40
ebola in us,35
ebola texas,25
ebola dallas,25
symptoms of ebola,25
ebola nurse,20
ebola patient,20
ebola cases,20
ebola cdc,20
ebola 2014,20
cdc,20
ebola africa,15
ebola spread,15
ebola usa,15
new york ebola,15
airborne ebola,15
who ebola,10
ebola zombie,10
ebola cure,10
ebola update,10
ebola in texas,10
ebola map,10
nyc ebola,10
cnn,10
cnn ebola,10
ebola disease,10
ebola us cases,10
ebola in africa,10
ebola death,10
duncan ebola,10
ebola patients,5
ebola virus symptoms,5
ebola in usa,5
ebola vaccine,5
ebola ohio,5
where is ebola,5
ebola ny,5
ebola in dallas,5
ebola united states,5
ebola victim,5
obama ebola,5
ebola costume,5
is ebola airborne,5
el ebola,5




Rising searches for United States
ebola nurse,+3,600%
ebola costume,+1,200%
nyc ebola,+1,150%
ebola ohio,+500%
new york ebola,+300%
ebola ny,+250%
ebola us cases,+150%
ebola cases,+140%
duncan ebola,+130%
signs of ebola,+80%



